Order_ID,Order_Date,Product_ID,Region,Store_Type,Units_Sold,Discount,Revenue,Profit,Customer_Age,Gender,Payment_Method
NKORD00060,2023-02-05,NK017,Asia-Pacific,Online,2,5,95.0,22.37,43,Female,Credit Card
NKORD00061,2024-09-25,NK009,Latin America,Online,7,10,201.6,66.7,35,Male,PayPal
NKORD00062,2023-08-23,NK004,Asia-Pacific,Retail,5,5,570.0,174.86,28,Female,Credit Card
NKORD00063,2025-06-18,NK006,North America,Online,3,20,348.0,89.91,44,Female,Cash
NKORD00064,2024-07-10,NK016,Europe,Online,4,5,152.0,50.75,44,Male,Credit Card
NKORD00065,2024-01-28,NK002,North America,Retail,3,10,364.5,94.26,33,Female,Apple Pay
NKORD00066,2023-01-31,NK012,North America,Retail,2,0,60.0,19.53,32,Male,Credit Card
NKORD00067,2023-02-14,NK020,Middle East & Africa,Online,6,10,162.0,43.78,22,Male,NetBanking
NKORD00068,2023-06-03,NK004,Europe,Online,4,20,384.0,116.44,41,Male,Credit Card
NKORD00069,2024-06-12,NK012,Asia-Pacific,Retail,1,5,28.5,7.55,25,Male,UPI
NKORD00070,2023-01-26,NK001,Europe,Outlet,4,10,414.0,110.81,22,Female,UPI
NKORD00071,2024-02-10,NK011,Europe,Retail,1,0,155.0,42.38,42,Male,Cash
NKORD00072,2023-07-20,NK018,Europe,Wholesale,2,20,44.8,10.4,51,Male,Google Pay
NKORD00073,2025-04-07,NK008,Asia-Pacific,Retail,2,0,250.0,74.48,24,Male,Credit Card
NKORD00074,2023-09-15,NK003,Asia-Pacific,Online,1,40,114.0,21.17,28,Female,UPI
NKORD00075,2024-10-18,NK014,North America,Retail,3,10,310.5,107.27,18,Male,Credit Card
NKORD00076,2023-09-01,NK012,Middle East & Africa,Retail,2,0,60.0,20.19,30,Female,Debit Card
NKORD00077,2023-11-26,NK018,Europe,Retail,1,10,25.2,7.43,22,Male,PayPal
NKORD00078,2024-01-08,NK014,Europe,Outlet,3,0,345.0,90.01,30,Female,NetBanking
NKORD00079,2023-10-16,NK010,North America,Wholesale,3,0,195.0,44.02,18,Male,UPI
NKORD00080,2024-05-23,NK020,Middle East & Africa,Retail,3,5,85.5,20.02,23,Male,Credit Card
NKORD00081,2025-02-20,NK018,North America,Wholesale,5,0,140.0,39.61,39,Male,Google Pay
NKORD00082,2024-03-04,NK013,Asia-Pacific,Outlet,3,10,337.5,103.58,34,Female,Debit Card
NKORD00083,2023-12-22,NK015,Asia-Pacific,Retail,7,10,176.4,43.74,19,Female,Debit Card
NKORD00084,2024-11-02,NK020,Europe,Online,2,40,36.0,6.68,33,Male,Debit Card
NKORD00085,2024-08-06,NK004,Middle East & Africa,Wholesale,6,0,720.0,229.35,37,Male,PayPal
NKORD00086,2023-01-05,NK001,Europe,Outlet,1,10,103.5,29.75,33,Male,UPI
NKORD00087,2023-06-19,NK018,North America,Online,2,0,56.0,13.17,37,Other,Apple Pay
NKORD00088,2023-06-03,NK013,Asia-Pacific,Retail,3,0,375.0,126.85,27,Male,Apple Pay
NKORD00089,2023-04-05,NK011,Europe,Retail,3,5,441.75,160.16,34,Female,Google Pay
NKORD00090,2025-01-25,NK004,North America,Online,1,10,108.0,37.47,24,Female,Cash
NKORD00091,2023-03-21,NK013,Middle East & Africa,Online,5,20,500.0,111.44,44,Female,Credit Card
NKORD00092,2025-08-06,NK006,Asia-Pacific,Outlet,3,5,413.25,109.54,46,Male,UPI
NKORD00093,2024-02-06,NK016,Asia-Pacific,Online,1,40,24.0,4.74,25,Female,Credit Card
NKORD00094,2023-01-02,NK002,North America,Online,5,10,607.5,215.81,26,Female,UPI
NKORD00095,2025-03-18,NK012,North America,Wholesale,5,40,90.0,10.8,32,Male,Google Pay
NKORD00096,2024-11-02,NK012,Europe,Outlet,3,10,81.0,15.76,31,Male,Apple Pay
NKORD00097,2025-07-01,NK019,Middle East & Africa,Online,4,10,72.0,14.56,38,Male,Debit Card
NKORD00098,2025-05-16,NK014,Asia-Pacific,Wholesale,5,5,546.25,122.25,23,Female,UPI
NKORD00099,2024-09-22,NK011,North America,Online,6,5,883.5,205.96,26,Male,Credit Card
NKORD00100,2025-09-21,NK006,Europe,Retail,4,40,348.0,63.7,27,Female,Credit Card
NKORD00101,2023-06-12,NK019,Asia-Pacific,Online,1,5,19.0,4.05,19,Female,Credit Card
NKORD00102,2024-10-28,NK020,Latin America,Retail,1,10,27.0,5.4,34,Male,Credit Card
NKORD00103,2023-03-13,NK012,Europe,Online,1,10,27.0,7.62,36,Male,PayPal
NKORD00104,2023-08-31,NK010,Europe,Online,2,10,117.0,26.45,30,Female,Credit Card
NKORD00105,2025-04-28,NK017,Europe,Online,2,0,100.0,31.76,29,Other,Cash
NKORD00106,2024-09-04,NK005,North America,Online,2,20,272.0,55.09,47,Female,Google Pay
NKORD00107,2025-04-05,NK004,Latin America,Online,3,5,342.0,100.22,18,Female,Debit Card
NKORD00108,2025-08-07,NK009,North America,Retail,3,0,96.0,24.15,41,Other,UPI
NKORD00109,2023-02-25,NK010,Latin America,Outlet,2,10,117.0,31.18,38,Female,PayPal
NKORD00110,2024-03-05,NK004,Latin America,Outlet,6,5,684.0,231.77,37,Male,PayPal
NKORD00111,2025-03-17,NK004,Asia-Pacific,Retail,3,0,360.0,106.92,24,Male,NetBanking
NKORD00112,2024-07-09,NK013,North America,Outlet,1,10,112.5,24.93,31,Male,Apple Pay
NKORD00113,2024-08-04,NK007,Asia-Pacific,Online,5,5,783.75,244.82,18,Male,Cash
NKORD00114,2025-03-09,NK018,Latin America,Online,6,20,134.4,34.57,36,Male,UPI
NKORD00115,2024-01-29,NK017,Europe,Online,1,0,50.0,13.25,39,Female,Apple Pay
NKORD00116,2024-08-19,NK009,Asia-Pacific,Retail,3,0,96.0,31.45,34,Male,Credit Card
NKORD00117,2025-01-21,NK019,North America,Outlet,3,20,48.0,11.73,27,Male,UPI
NKORD00118,2024-07-07,NK009,Asia-Pacific,Online,1,10,28.8,8.88,34,Male,NetBanking
NKORD00119,2025-06-18,NK013,Asia-Pacific,Outlet,2,0,250.0,86.41,22,Male,Credit Card
NKORD00120,2024-08-08,NK002,Europe,Retail,1,10,121.5,32.8,36,Male,UPI
NKORD00121,2024-02-18,NK018,Asia-Pacific,Retail,1,5,26.6,7.98,30,Male,Credit Card
NKORD00122,2023-08-28,NK015,North America,Retail,3,10,75.6,24.42,36,Male,Debit Card
NKORD00123,2023-05-06,NK019,Asia-Pacific,Online,7,20,112.0,35.78,49,Male,PayPal
NKORD00124,2023-06-27,NK008,North America,Retail,1,0,125.0,48.64,32,Other,Apple Pay
NKORD00125,2023-07-25,NK001,Asia-Pacific,Online,2,10,207.0,51.36,38,Male,UPI
NKORD00126,2025-03-01,NK002,Europe,Retail,3,40,243.0,50.24,35,Male,Credit Card
NKORD00127,2023-09-09,NK006,Europe,Outlet,4,5,551.0,154.7,28,Male,Credit Card
NKORD00128,2025-04-27,NK003,Middle East & Africa,Online,1,10,171.0,52.19,38,Male,UPI
NKORD00129,2025-09-22,NK006,Europe,Outlet,4,10,522.0,149.41,18,Male,UPI
NKORD00130,2024-03-11,NK008,Asia-Pacific,Outlet,3,5,356.25,99.0,42,Male,Credit Card
NKORD00131,2024-11-13,NK018,Asia-Pacific,Wholesale,2,10,50.4,13.94,45,Male,Apple Pay
NKORD00132,2024-08-17,NK006,Middle East & Africa,Retail,3,10,391.5,137.71,28,Male,PayPal
NKORD00133,2023-08-16,NK020,Europe,Online,7,5,199.5,51.32,35,Female,Credit Card
NKORD00134,2025-09-27,NK019,Europe,Online,4,20,64.0,11.77,38,Female,Apple Pay
NKORD00135,2025-05-07,NK011,Latin America,Retail,2,5,294.5,92.08,47,Female,NetBanking
NKORD00136,2024-11-27,NK006,Europe,Retail,5,0,725.0,283.98,33,Male,UPI
NKORD00137,2025-08-28,NK006,Latin America,Retail,3,5,413.25,148.93,31,Male,PayPal
NKORD00138,2024-04-02,NK001,North America,Wholesale,3,10,310.5,88.75,26,Male,UPI
NKORD00139,2023-05-23,NK013,North America,Wholesale,4,10,450.0,93.85,32,Female,Cash
NKORD00140,2025-07-30,NK019,Middle East & Africa,Wholesale,2,10,36.0,8.75,31,Male,PayPal
NKORD00141,2025-03-27,NK016,Europe,Retail,4,5,152.0,31.82,42,Male,UPI
NKORD00142,2024-12-15,NK003,Asia-Pacific,Retail,1,20,152.0,38.78,27,Male,Debit Card
NKORD00143,2025-02-19,NK009,Latin America,Retail,2,0,64.0,20.32,25,Female,Debit Card
NKORD00144,2023-05-17,NK015,Middle East & Africa,Online,1,0,28.0,6.25,24,Female,UPI
NKORD00145,2025-04-24,NK001,Asia-Pacific,Online,2,10,207.0,51.42,37,Male,Credit Card
NKORD00146,2024-10-23,NK020,Latin America,Retail,2,20,48.0,8.63,45,Male,UPI
NKORD00147,2025-08-03,NK012,North America,Retail,4,10,108.0,35.39,25,Female,Google Pay
NKORD00148,2025-03-25,NK019,Europe,Retail,1,5,19.0,4.05,18,Female,Credit Card
NKORD00149,2023-03-24,NK012,North America,Retail,3,10,81.0,19.53,30,Male,UPI
NKORD00150,2025-08-29,NK007,Middle East & Africa,Retail,2,0,330.0,104.37,40,Male,Google Pay
NKORD00151,2024-10-24,NK001,Europe,Retail,6,5,655.5,195.54,22,Male,Apple Pay
NKORD00152,2023-08-14,NK019,Asia-Pacific,Online,4,10,72.0,16.2,29,Female,PayPal
NKORD00153,2024-07-10,NK012,Asia-Pacific,Online,3,5,85.5,23.29,34,Female,Google Pay
NKORD00154,2025-07-24,NK018,Asia-Pacific,Outlet,2,0,56.0,17.36,23,Male,UPI
NKORD00155,2025-04-24,NK013,North America,Online,3,20,300.0,69.06,22,Male,UPI
NKORD00156,2025-03-19,NK004,North America,Retail,2,10,216.0,56.8,31,Male,Apple Pay
NKORD00157,2023-12-24,NK011,Middle East & Africa,Online,4,10,558.0,156.51,20,Male,Apple Pay
NKORD00158,2025-04-12,NK015,Latin America,Outlet,1,0,28.0,6.33,19,Female,Cash
NKORD00159,2023-06-20,NK009,Asia-Pacific,Online,2,0,64.0,18.49,25,Female,UPI
NKORD00160,2023-09-19,NK019,North America,Outlet,1,0,20.0,4.96,36,Other,Apple Pay
NKORD00161,2024-04-27,NK001,Middle East & Africa,Online,2,20,184.0,46.19,21,Male,UPI
NKORD00162,2024-08-29,NK007,Asia-Pacific,Outlet,3,10,445.5,117.2,31,Female,Cash
NKORD00163,2023-01-28,NK017,Asia-Pacific,Outlet,3,5,142.5,46.04,36,Female,Cash
NKORD00164,2025-09-23,NK015,Europe,Retail,4,20,89.6,19.11,24,Female,Debit Card
NKORD00165,2024-04-18,NK020,Latin America,Retail,3,5,85.5,21.93,28,Male,Google Pay
NKORD00166,2024-05-10,NK013,Asia-Pacific,Retail,2,5,237.5,63.36,31,Male,Debit Card
NKORD00167,2024-09-08,NK006,North America,Outlet,4,5,551.0,141.7,27,Female,Debit Card
NKORD00168,2023-10-26,NK018,Europe,Retail,3,5,79.8,20.5,34,Male,Apple Pay
NKORD00169,2023-09-23,NK010,Asia-Pacific,Retail,6,10,351.0,92.64,40,Male,Credit Card
NKORD00170,2025-04-19,NK013,North America,Online,6,0,750.0,202.23,34,Female,Credit Card
NKORD00171,2024-04-28,NK005,Europe,Retail,6,10,918.0,300.37,18,Male,Credit Card
NKORD00172,2023-12-06,NK017,Europe,Online,3,10,135.0,42.75,27,Male,Credit Card
NKORD00173,2025-01-30,NK020,Asia-Pacific,Retail,2,5,57.0,17.79,29,Female,PayPal
NKORD00174,2025-05-28,NK004,Asia-Pacific,Retail,2,0,240.0,69.58,42,Male,Credit Card
NKORD00175,2025-03-10,NK017,Asia-Pacific,Retail,6,10,270.0,85.14,34,Female,Credit Card
NKORD00176,2024-02-04,NK019,Asia-Pacific,Online,2,20,32.0,5.41,44,Female,NetBanking
NKORD00177,2024-05-07,NK001,Europe,Online,2,10,207.0,58.47,27,Male,UPI
NKORD00178,2024-03-06,NK015,Middle East & Africa,Outlet,5,0,140.0,32.26,35,Female,Credit Card
NKORD00179,2024-05-23,NK001,Asia-Pacific,Online,1,10,103.5,23.96,42,Male,Google Pay
NKORD00180,2023-09-19,NK001,Latin America,Wholesale,5,5,546.25,180.32,38,Male,Cash
NKORD00181,2024-06-01,NK012,Europe,Retail,3,5,85.5,27.43,27,Female,PayPal
NKORD00182,2024-08-08,NK018,Asia-Pacific,Online,1,10,25.2,5.38,18,Female,Credit Card
NKORD00183,2025-01-23,NK020,Europe,Online,3,20,72.0,15.79,40,Female,NetBanking
NKORD00184,2024-08-20,NK016,Asia-Pacific,Online,3,5,114.0,28.79,41,Male,Google Pay
NKORD00185,2025-08-07,NK020,Asia-Pacific,Outlet,4,10,108.0,28.97,42,Female,UPI
NKORD00186,2024-04-20,NK008,Asia-Pacific,Online,4,5,475.0,146.86,38,Male,Credit Card
NKORD00187,2025-06-11,NK006,Europe,Outlet,2,0,290.0,99.28,18,Female,UPI
NKORD00188,2023-08-31,NK001,Asia-Pacific,Retail,6,40,414.0,74.42,32,Male,UPI
NKORD00189,2023-09-28,NK015,Europe,Online,2,10,50.4,14.93,31,Male,Credit Card
NKORD00190,2024-01-03,NK005,North America,Retail,5,10,765.0,204.07,18,Male,Google Pay
NKORD00191,2024-02-16,NK005,Latin America,Retail,2,5,323.0,93.04,27,Male,Credit Card
NKORD00192,2023-07-16,NK001,Middle East & Africa,Outlet,4,0,460.0,155.49,30,Female,Credit Card
NKORD00193,2023-02-09,NK006,Europe,Outlet,3,10,391.5,116.64,39,Male,PayPal
NKORD00194,2024-07-14,NK014,Middle East & Africa,Online,1,20,92.0,21.92,42,Female,NetBanking
NKORD00195,2025-05-31,NK018,Europe,Outlet,1,0,28.0,5.67,40,Female,Cash
NKORD00196,2023-03-13,NK002,Europe,Retail,2,5,256.5,92.33,41,Male,Google Pay
NKORD00197,2024-08-22,NK006,Europe,Wholesale,2,0,290.0,83.41,46,Female,Credit Card
NKORD00198,2023-07-25,NK013,North America,Online,7,5,831.25,200.04,28,Male,Credit Card
NKORD00199,2025-04-11,NK013,North America,Retail,1,20,100.0,24.28,32,Male,NetBanking
NKORD00200,2025-02-08,NK015,Asia-Pacific,Retail,3,20,67.2,12.27,29,Other,Debit Card
NKORD00201,2024-07-01,NK015,Asia-Pacific,Online,1,10,25.2,7.87,18,Female,NetBanking
NKORD00202,2025-08-17,NK013,North America,Retail,3,20,300.0,74.88,18,Male,Debit Card
NKORD00203,2025-03-06,NK010,Europe,Wholesale,2,5,123.5,29.6,27,Male,UPI
NKORD00204,2025-03-15,NK011,Asia-Pacific,Online,3,20,372.0,63.02,29,Male,Credit Card
NKORD00205,2023-07-17,NK005,Latin America,Retail,2,10,306.0,104.82,40,Female,UPI
NKORD00206,2024-09-14,NK003,Europe,Outlet,1,5,180.5,59.62,39,Female,UPI
NKORD00207,2023-06-18,NK003,Europe,Wholesale,1,5,180.5,54.23,31,Female,Credit Card
NKORD00208,2024-09-29,NK013,Asia-Pacific,Online,1,0,125.0,34.77,25,Female,Credit Card
NKORD00209,2024-09-30,NK020,Europe,Outlet,1,20,24.0,3.57,27,Male,Google Pay
NKORD00210,2025-05-30,NK005,Asia-Pacific,Retail,1,20,136.0,41.55,36,Female,NetBanking
NKORD00211,2023-12-14,NK011,Latin America,Outlet,3,5,441.75,131.28,20,Female,NetBanking
NKORD00212,2023-09-06,NK001,Latin America,Online,3,10,310.5,110.53,29,Female,Cash
NKORD00213,2024-02-17,NK006,Europe,Online,3,5,413.25,110.66,29,Female,UPI
NKORD00214,2025-09-04,NK019,Asia-Pacific,Wholesale,3,10,54.0,11.17,39,Male,Credit Card
NKORD00215,2023-04-07,NK002,North America,Outlet,7,20,756.0,219.47,23,Male,Debit Card
NKORD00216,2023-03-28,NK002,Latin America,Retail,2,0,270.0,104.47,32,Male,UPI
NKORD00217,2024-07-17,NK001,Europe,Retail,3,10,310.5,81.99,33,Female,Debit Card
NKORD00218,2025-09-28,NK006,North America,Wholesale,3,10,391.5,102.97,19,Female,Credit Card
NKORD00219,2025-02-02,NK016,Asia-Pacific,Online,1,10,36.0,9.5,20,Female,PayPal
NKORD00220,2023-06-30,NK018,Latin America,Outlet,2,5,53.2,14.7,47,Male,NetBanking
NKORD00221,2025-03-13,NK015,Europe,Retail,1,10,25.2,5.88,28,Male,PayPal
NKORD00222,2024-10-10,NK012,Europe,Retail,6,20,144.0,35.6,18,Male,UPI
NKORD00223,2025-06-13,NK015,Asia-Pacific,Online,1,5,26.6,6.75,18,Female,PayPal
NKORD00224,2023-10-13,NK002,North America,Retail,5,0,675.0,215.43,48,Male,Debit Card
NKORD00225,2023-01-04,NK005,Europe,Wholesale,3,5,484.5,125.56,50,Male,Credit Card
NKORD00226,2024-05-30,NK008,North America,Outlet,2,0,250.0,61.67,29,Male,UPI
NKORD00227,2024-06-19,NK001,Europe,Online,4,20,368.0,90.26,40,Female,Google Pay
NKORD00228,2024-11-08,NK015,Asia-Pacific,Online,3,0,84.0,21.87,39,Female,Credit Card
NKORD00229,2025-07-04,NK003,North America,Online,3,5,541.5,190.43,34,Female,NetBanking
NKORD00230,2024-08-03,NK009,Asia-Pacific,Retail,3,0,96.0,35.82,42,Female,Debit Card
NKORD00231,2023-03-22,NK015,Asia-Pacific,Online,2,10,50.4,16.52,31,Male,UPI
NKORD00232,2025-03-15,NK015,Middle East & Africa,Retail,3,10,75.6,14.04,19,Male,Credit Card
NKORD00233,2024-11-30,NK015,Asia-Pacific,Online,2,10,50.4,13.14,27,Male,PayPal
NKORD00234,2025-02-13,NK002,North America,Retail,3,5,384.75,107.94,34,Male,Cash
NKORD00235,2023-10-13,NK002,Europe,Wholesale,1,10,121.5,38.61,33,Other,Debit Card
NKORD00236,2023-11-23,NK018,North America,Retail,3,0,84.0,27.05,30,Female,Debit Card
NKORD00237,2025-07-08,NK019,Europe,Online,3,10,54.0,10.58,34,Female,Credit Card
NKORD00238,2023-03-16,NK015,Middle East & Africa,Wholesale,1,20,22.4,5.07,18,Male,Debit Card
NKORD00239,2024-09-01,NK001,Asia-Pacific,Online,3,0,345.0,123.69,34,Female,PayPal
NKORD00240,2025-05-13,NK019,Middle East & Africa,Retail,3,20,48.0,8.4,41,Female,Apple Pay
NKORD00241,2024-12-02,NK006,Asia-Pacific,Online,1,10,130.5,37.63,37,Male,Credit Card
NKORD00242,2024-09-30,NK020,Europe,Online,4,10,108.0,28.11,29,Female,Credit Card
NKORD00243,2023-11-25,NK012,North America,Online,1,10,27.0,7.97,18,Female,Credit Card
NKORD00244,2024-07-16,NK017,North America,Retail,3,10,135.0,27.41,20,Male,UPI
NKORD00245,2023-12-05,NK015,Asia-Pacific,Outlet,1,20,22.4,5.62,43,Female,UPI
NKORD00246,2023-05-08,NK014,Europe,Retail,5,10,517.5,167.27,32,Male,PayPal
NKORD00247,2023-10-26,NK004,North America,Retail,2,10,216.0,76.7,52,Female,Cash
NKORD00248,2023-04-12,NK002,Europe,Retail,5,10,607.5,173.17,36,Male,Credit Card
NKORD00249,2023-10-19,NK010,Latin America,Outlet,3,0,195.0,56.96,34,Male,Cash
NKORD00250,2023-12-18,NK019,Latin America,Wholesale,2,10,36.0,8.01,21,Female,Credit Card
NKORD00251,2023-09-09,NK019,North America,Outlet,2,0,40.0,8.15,27,Female,Google Pay
NKORD00252,2024-05-01,NK001,Europe,Retail,4,20,368.0,87.66,47,Male,UPI
NKORD00253,2023-03-05,NK006,Latin America,Online,3,20,348.0,93.47,36,Female,Credit Card
NKORD00254,2025-05-07,NK013,North America,Retail,2,0,250.0,69.69,43,Male,Google Pay
NKORD00255,2023-05-08,NK019,Asia-Pacific,Retail,3,5,57.0,12.98,43,Female,Credit Card
NKORD00256,2025-05-02,NK011,North America,Online,5,20,620.0,191.01,39,Female,Apple Pay
NKORD00257,2025-08-12,NK020,Europe,Retail,2,20,48.0,10.2,33,Female,Credit Card
NKORD00258,2023-03-20,NK003,Latin America,Online,3,10,513.0,147.79,33,Female,NetBanking
NKORD00259,2024-11-17,NK013,Latin America,Wholesale,5,10,562.5,106.55,36,Male,NetBanking
NKORD00260,2025-06-02,NK002,Middle East & Africa,Online,5,5,641.25,180.88,39,Male,Google Pay
NKORD00261,2025-03-10,NK001,Latin America,Online,1,0,115.0,30.62,28,Female,UPI
NKORD00262,2025-05-05,NK020,Latin America,Online,4,5,114.0,28.34,43,Male,UPI
NKORD00263,2024-04-03,NK006,Asia-Pacific,Online,1,20,116.0,33.34,44,Female,Debit Card
NKORD00264,2025-08-31,NK008,Asia-Pacific,Online,7,10,787.5,221.95,29,Female,UPI
NKORD00265,2024-06-14,NK013,Latin America,Online,7,10,787.5,268.74,18,Female,Cash
NKORD00266,2024-04-24,NK015,North America,Online,1,10,25.2,5.25,18,Male,Apple Pay
NKORD00267,2024-12-30,NK017,North America,Online,7,0,350.0,114.72,40,Female,UPI
NKORD00268,2023-01-27,NK004,Middle East & Africa,Outlet,6,20,576.0,128.7,33,Male,Credit Card
NKORD00269,2024-06-03,NK005,Europe,Retail,4,5,646.0,201.45,46,Female,UPI
NKORD00270,2023-08-11,NK006,Asia-Pacific,Retail,3,0,435.0,134.81,18,Female,Debit Card
NKORD00271,2024-06-09,NK012,Europe,Online,3,10,81.0,21.7,21,Male,Credit Card
NKORD00272,2024-12-15,NK015,North America,Online,1,0,28.0,8.13,34,Female,Credit Card
NKORD00273,2025-05-22,NK015,Europe,Online,2,20,44.8,8.91,18,Female,Credit Card
NKORD00274,2023-11-15,NK018,North America,Retail,1,10,25.2,7.48,28,Female,Cash
NKORD00275,2024-08-12,NK007,Latin America,Retail,3,5,470.25,131.55,35,Male,Google Pay
